,NDVI
0,0.26391591503269624
1,0.2726179738562324
2,0.28020088235295837
3,0.2751170588235487
4,0.2830453921568769
5,0.28619748366015113
6,0.2911609803921658
7,0.3050262091503417
8,0.2919258823529529
9,0.2872167973856329
10,0.28325068627452477
11,0.2873260784313773
12,0.2849418300653742
13,0.30396790849673283
14,0.2921369607843195
15,0.29176813725491224
16,0.2899628104575271
17,0.29901411764706337
18,0.29387571895425735
19,0.29298049019608197
20,0.2943584967320347
21,0.27450130718957105
22,0.2722746732026442
23,0.27357372549022246
24,0.2758041830065636
25,0.27148839869284225
26,0.26931715686276975
27,0.25458160130721047
28,0.2598901633987006
29,0.24535673202616232
30,0.23366294117650196
31,0.23550120915035533
32,0.2275188562091835
33,0.2263164379085244
34,0.22288777777781965
35,0.21092875816996848
36,0.19964598039219045
37,0.19763058823533175
38,0.1930854575163774
39,0.18547594771245307
40,0.27840774509806576
41,0.27575875816996565
42,0.2742290522876104
43,0.2702930718954581
44,0.27543434640526104
45,0.2761053921568907
46,0.27760506535950685
47,0.2716869607843429
48,0.2819393790849739
49,0.28162575163400166
50,0.2862730392157005
51,0.2752883333333547
52,0.2792762091503437
53,0.29154101307190045
54,0.29273787581699173
55,0.3022047058823602
