,NDVI
0,-0.7410189542484238
1,-0.7812869281046195
2,-0.8574217320261565
3,-0.8274243464052606
4,-0.8410089869281226
5,-0.8335344771242106
6,-0.8011769607843078
7,-0.7691143790849944
8,-0.8081066993464165
9,-0.7627383986928399
10,-0.8175741830065475
11,-0.7472137254902197
12,-0.7316465686274797
13,-0.7323661764706164
14,-0.692309967320314
15,-0.7263875816993753
16,-0.6689918300654146
17,-0.6431433006536496
18,-0.6239339869281736
19,-0.6195923202614665
20,-0.5918008169934751
21,-0.6527137254902105
22,-0.609932189542496
23,-0.5886692810457723
24,-0.572842483660176
25,-0.5912253267973675
26,-0.6369408496732539
27,-0.6730648692810693
28,-0.6868503267973677
29,-0.6236292483660294
30,-0.5671114379085199
31,-0.5766496732026423
32,-0.595044771241844
33,-0.5413906862745488
34,-0.5100423202614613
35,-0.42692973856209676
36,-0.5711468954248109
37,-0.5257700980392386
38,-0.547942647058815
39,-0.525176143790832
40,-0.5709459150326888
41,-0.5790617647059129
42,-0.5268467320261867
43,-0.5605926470588208
44,-0.5147035947712777
45,-0.5381477124183172
46,-0.5290191176470533
47,-0.5196191176470527
48,-0.5019039215686353
49,-0.5418348039215624
50,-0.5807485294117807
51,-0.6550794117647125
52,-0.6261674836601558
53,-0.6379962418301078
54,-0.585730392156883
55,-0.584507679738594
