,NDVI
0,-0.1650705555555458
1,-0.16204843137254127
2,-0.16065022875815937
3,-0.16092810457515289
4,-0.1578854575163341
5,-0.15698160130718342
6,-0.1564026143790847
7,-0.15325084967320382
8,-0.1576177777777745
9,-0.15789993464051819
10,-0.160238790849664
11,-0.15785522875816776
12,-0.1606797385620828
13,-0.15562862745097458
14,-0.15859062091502507
15,-0.15865323529411424
16,-0.1594949019607798
17,-0.1576416339869234
18,-0.15668480392156306
19,-0.1570197058823466
20,-0.1555066013071833
21,-0.1613635947712316
22,-0.16083388888887698
23,-0.15961450980391195
24,-0.15966620915031457
25,-0.16177225490194638
26,-0.16903794117643162
27,-0.17408127450976424
28,-0.17852545751629426
29,-0.1775536601306743
30,-0.18283758169929556
31,-0.18030493464046715
32,-0.1860493137254325
33,-0.18454506535941953
34,-0.18531490196072364
35,-0.18919640522868988
36,-0.1967173529411074
37,-0.19654562091497327
38,-0.2001506209149691
39,-0.2050386928103876
40,-0.15998454248364502
41,-0.1598704575163272
42,-0.16115271241828785
43,-0.16172738562089817
44,-0.1590982679738442
45,-0.15972866013070783
46,-0.1596083986927966
47,-0.16007147058822357
48,-0.15631996732024836
49,-0.1554327450980278
50,-0.15567225490194908
51,-0.16174362745096674
52,-0.16120686274508092
53,-0.15923950980390605
54,-0.15960683006534165
55,-0.15936954248363552
